"REF_DATE","GEO","DGUID","Age (15A)","Gender (3)","Statistics (3)","Main mode of commuting (11A)","Commuting destination (5)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.7.3","45","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Passenger with 2 or more workers","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4569.2.1.1.7.4","10","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Total - Commuting destination","","0","units","0","","4569.2.1.1.8.1","445","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.8.2","400","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.8.3","30","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4569.2.1.1.8.4","10","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Sustainable transportation","Commute to a different province or territory","","0","units","0","","4569.2.1.1.8.5","15","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Public transit","Total - Commuting destination","","0","units","0","","4569.2.1.1.9.1","65","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Public transit","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.9.2","40","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Public transit","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.9.3","15","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Active transportation","Total - Commuting destination","","0","units","0","","4569.2.1.1.10.1","385","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Active transportation","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.10.2","360","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Active transportation","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4569.2.1.1.10.3","20","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Other method","Total - Commuting destination","","0","units","0","","4569.2.1.1.11.1","25","","","","0"
"2021","East Kootenay","2021A00035901","15 to 24 years","Total - Gender","Count","Other method","Commute within census subdivision (CSD) of residence","","0","units","0","","4569.2.1.1.11.2","10","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Total - Commuting destination","","0","units","0","","4591.2.1.1.1.1","2075","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.1.2","1120","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.1.3","835","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4591.2.1.1.1.4","95","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Total - Main mode of commuting","Commute to a different province or territory","","0","units","0","","4591.2.1.1.1.5","25","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Car, truck or van","Total - Commuting destination","","0","units","0","","4591.2.1.1.2.1","1590","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.2.2","705","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute to a different census subdivision (CSD) within census division (CD) of residence","","0","units","0","","4591.2.1.1.2.3","785","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute to a different census subdivision (CSD) and census division (CD) within province or territory of residence","","0","units","0","","4591.2.1.1.2.4","75","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Car, truck or van","Commute to a different province or territory","","0","units","0","","4591.2.1.1.2.5","20","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Total - Commuting destination","","0","units","0","","4591.2.1.1.3.1","1085","","","","0"
"2021","Central Kootenay","2021A00035903","15 to 24 years","Total - Gender","Count","Driver (only worker in vehicle)","Commute within census subdivision (CSD) of residence","","0","units","0","","4591.2.1.1.3.2","490","","","","0"
